Date,Population_Data,Regression_Data,LSTM_Data
2023-05-01,2918.0,,
2023-06-01,3002.0,,
2023-07-01,2883.0,,
2023-08-01,3006.0,,
2023-09-01,2955.0,,
2023-10-01,2971.0,,
2023-11-01,2935.0,,
2023-12-01,3128.0,,
2024-01-01,3000.0,,
2024-01-01,3000.0,,
2024-02-01,,,2974.8787
2024-03-01,,,2981.2305
2024-04-01,,,2987.0967
2024-05-01,,,2992.3452
2024-06-01,,,2996.9634
2024-07-01,,,3001.6177
2024-08-01,,,3006.1868
2024-09-01,,,3010.6958
2024-10-01,,,3015.1052
2024-11-01,,,3018.8318
2024-12-01,,,3023.121
2025-01-01,,2297.889907087665,3027.2812
2025-02-01,,,3031.0623
2025-03-01,,,3034.8914
2025-04-01,,,3038.6287
2025-05-01,,,3042.276
2025-06-01,,,3045.8384
2025-07-01,,,3049.3196
2025-08-01,,,3052.7207
2025-09-01,,,3056.0427
2025-10-01,,,3059.287
2025-11-01,,,3062.4556
2025-12-01,,,3065.553
2026-01-01,,2381.5302946800366,3068.577
2026-02-01,,,3071.5293
2026-03-01,,,3074.4133
2026-04-01,,,3077.2285
2026-05-01,,,3079.9783
2026-06-01,,,3082.663
2026-07-01,,,3085.2842
2026-08-01,,,3087.8433
2026-09-01,,,3090.342
2026-10-01,,,3092.7808
2026-11-01,,,3095.1616
2026-12-01,,,3097.4858
2027-01-01,,2466.7689852006733,3099.754
2027-02-01,,,3101.968
2027-03-01,,,3104.1294
2027-04-01,,,3106.239
2027-05-01,,,3108.297
2027-06-01,,,3110.306
2027-07-01,,,3112.266
2027-08-01,,,3114.179
2027-09-01,,,3116.0457
2027-10-01,,,3117.8667
2027-11-01,,,3119.6443
2027-12-01,,,3121.379
2028-01-01,,2553.605978651438,3123.0703
2028-02-01,,,3124.7214
2028-03-01,,,3126.3318
2028-04-01,,,3127.903
2028-05-01,,,3129.4355
2028-06-01,,,3130.931
2028-07-01,,,3132.3894
2028-08-01,,,3133.8125
2028-09-01,,,3135.2002
2028-10-01,,,3136.554
2028-11-01,,,3137.8743
2028-12-01,,,3139.163
2029-01-01,,2642.0412750295363,3140.4187
2029-02-01,,,3141.644
2029-03-01,,,3142.839
2029-04-01,,,3144.005
2029-05-01,,,3145.141
2029-06-01,,,3146.2498
2029-07-01,,,3147.3306
2029-08-01,,,3148.385
2029-09-01,,,3149.413
2029-10-01,,,3150.4155
2029-11-01,,,3151.3926
2029-12-01,,,3152.3464
2030-01-01,,2732.074874337297,3153.2756
2030-02-01,,,3154.1824
2030-03-01,,,3155.0662
2030-04-01,,,3155.9277
2030-05-01,,,3156.7688
2030-06-01,,,3157.5874
2030-07-01,,,3158.3862
2030-08-01,,,3159.1655
2030-09-01,,,3159.9248
2030-10-01,,,3160.6653
2030-11-01,,,3161.387
2030-12-01,,,3162.0908
2031-01-01,,2823.7067765733227,3162.777
2031-02-01,,,3163.446
2031-03-01,,,3164.0984
2031-04-01,,,3164.734
2031-05-01,,,3165.3538
2031-06-01,,,3165.958
2031-07-01,,,3166.547
2031-08-01,,,3167.1216
2031-09-01,,,3167.6812
2031-10-01,,,3168.2273
2031-11-01,,,3168.759
2031-12-01,,,3169.2776
2032-01-01,,2916.9369817390107,3169.7832
2032-02-01,,,3170.276
2032-03-01,,,3170.7563
2032-04-01,,,3171.2249
2032-05-01,,,3171.681
2032-06-01,,,3172.1265
2032-07-01,,,3172.5596
2032-08-01,,,3172.9827
2032-09-01,,,3173.395
2032-10-01,,,3173.7969
2032-11-01,,,3174.1885
2032-12-01,,,3174.57
2033-01-01,,3011.765489832498,3174.9417
2033-02-01,,,3175.3044
2033-03-01,,,3175.658
2033-04-01,,,3176.002
2033-05-01,,,3176.338
2033-06-01,,,3176.6646
2033-07-01,,,3176.9834
2033-08-01,,,3177.2947
2033-09-01,,,3177.5974
2033-10-01,,,3177.8926
2033-11-01,,,3178.1802
2033-12-01,,,3178.461
2034-01-01,,3108.192300855648,3178.7341
2034-02-01,,,3179.0002
2034-03-01,,,3179.2603
2034-04-01,,,3179.5134
2034-05-01,,,3179.7598
2034-06-01,,,3180.0002
2034-07-01,,,3180.2346
2034-08-01,,,3180.463
2034-09-01,,,3180.6853
2034-10-01,,,3180.9023
2034-11-01,,,3181.114
2034-12-01,,,3181.3196
2035-01-01,,3206.2174148070626,3181.5205
2035-02-01,,,3181.716
2035-03-01,,,3181.9065
2035-04-01,,,3182.0923
